Wavelength [nm],Transmission [dB]
1478.400,-76.112
1479.800,-74.986
1481.200,-75.348
1482.600,-75.744
1484.000,-76.160
1485.400,-76.716
1486.800,-77.353
1488.200,-76.644
1489.600,-76.036
1491.000,-75.048
1492.400,-74.948
1493.800,-74.851
1495.200,-74.892
1496.600,-74.934
1498.000,-76.424
1499.400,-75.583
1500.800,-74.878
1502.200,-74.657
1503.600,-74.447
1505.000,-76.534
1506.400,-78.103
1507.800,-80.585
1509.200,-81.373
1510.600,-82.336
1512.000,-210.000
1513.400,-81.408
1514.800,-78.095
1516.200,-78.032
1517.600,-77.969
1519.000,-74.921
1520.400,-76.430
1521.800,-78.764
1523.200,-76.511
1524.600,-75.035
1526.000,-75.699
1527.400,-75.758
1528.800,-75.818
1530.200,-76.585
1531.600,-77.517
1533.000,-76.063
1534.400,-76.537
1535.800,-77.070
1537.200,-75.898
1538.600,-74.976
1540.000,-75.034
1541.400,-75.527
1542.800,-76.083
1544.200,-77.342
1545.600,-79.123
1547.000,-82.454
1548.400,-82.889
1549.800,-83.373
1551.200,-80.478
1552.600,-78.756
1554.000,-76.574
1555.400,-74.807
1556.800,-73.554
1558.200,-74.281
1559.600,-75.155
1561.000,-75.406
1562.400,-75.365
1563.800,-75.324
1565.200,-76.054
1566.600,-76.931
1568.000,-77.921
1569.400,-77.036
1570.800,-76.300
1572.200,-76.709
1573.600,-77.160
1575.000,-77.971
1576.400,-76.810
1577.800,-75.895
1579.200,-76.893
1580.600,-78.189
1582.000,-78.994
1583.400,-79.115
1584.800,-79.239
1586.200,-79.413
1587.600,-79.593
1589.000,-84.355
1590.400,-81.030
1591.800,-79.169
1593.200,-77.700
1594.600,-76.604
1596.000,-75.878
1597.400,-76.844
1598.800,-78.087
1600.200,-77.747
1601.600,-77.432
1603.000,-79.066
1604.400,-79.827
1605.800,-80.750
1607.200,-79.905
1608.600,-79.199
1610.000,-76.624
1611.400,-77.036
1612.800,-77.493
1614.200,-79.536
1615.600,-83.523
1617.000,-78.496
1618.400,-82.878
1619.800,-210.000
1621.200,-83.169
1622.600,-78.707
1624.000,-78.974
1625.400,-80.481
1626.800,-82.808
1628.200,-79.797
1629.600,-78.036
1631.000,-210.000
1632.400,-83.259
1633.800,-80.156
1635.200,-77.617
1636.600,-76.026
1638.000,-81.874
1639.400,-84.106
1640.800,-88.946
1642.200,-84.231
1643.600,-82.023
1645.000,-81.836
1646.400,-79.226
1647.800,-77.606
1649.200,-79.702
1650.600,-83.905
1652.000,-76.924
1653.400,-77.576
1654.800,-78.344
1656.200,-80.827
1657.600,-87.237
1659.000,-77.251
1660.400,-77.938
1661.800,-78.755
1663.200,-80.533
1664.600,-83.596
1666.000,-76.013
1667.400,-79.657
1668.800,-210.000
1670.200,-210.000
1671.600,-210.000
1673.000,-210.000
1674.400,-210.000
1675.800,-89.026
1677.200,-83.101
1678.600,-80.685
1680.000,-210.000
1681.400,-210.000
1682.800,-78.138
1684.200,-77.875
1685.600,-77.628
1687.000,-210.000
1688.400,-210.000
1689.800,-82.816
1691.200,-78.916
1692.600,-76.895
1694.000,-76.473
1695.400,-72.220
1696.800,-70.112
1698.200,-71.746
1699.600,-74.393
1701.000,-210.000
1702.400,-210.000
1703.800,-80.616
1705.200,-210.000
1706.600,-210.000
1708.000,-70.079
1709.400,-73.010
1710.800,-87.407
1712.200,-78.705
1713.600,-75.998
1715.000,-71.087
1716.400,-75.485
1717.800,-210.000
1719.200,-73.242
1720.600,-69.352
1722.000,-210.000
1723.400,-210.000
1724.800,-210.000
1726.200,-70.467
1727.600,-66.603
1729.000,-210.000
1730.400,-210.000
1731.800,-75.355
1733.200,-78.365
1734.600,-210.000
1736.000,-72.557
1737.400,-74.457
1738.800,-77.917
1740.200,-73.006
1741.600,-70.760
1743.000,-210.000
1744.400,-75.964
1745.800,-69.745
1747.200,-70.123
1748.600,-70.536
1750.000,-68.228
