Wavelength [nm],Transmission [dB]
1430.800,-66.256
1432.200,-64.765
1433.600,-63.658
1435.000,-62.582
1436.400,-62.605
1437.800,-62.629
1439.200,-63.188
1440.600,-63.829
1442.000,-64.611
1443.400,-65.493
1444.800,-66.601
1446.200,-67.779
1447.600,-69.401
1449.000,-69.966
1450.400,-70.243
1451.800,-70.539
1453.200,-69.854
1454.600,-69.262
1456.000,-68.684
1457.400,-69.056
1458.800,-69.462
1460.200,-69.565
1461.600,-69.671
1463.000,-70.879
1464.400,-70.320
1465.800,-69.826
1467.200,-67.729
1468.600,-66.321
1470.000,-65.856
1471.400,-66.042
1472.800,-66.237
1474.200,-65.172
1475.600,-64.318
1477.000,-63.552
1478.400,-63.962
1479.800,-64.416
1481.200,-65.639
1482.600,-67.347
1484.000,-68.487
1485.400,-69.191
1486.800,-70.031
1488.200,-71.460
1489.600,-73.605
1491.000,-73.513
1492.400,-72.884
1493.800,-72.335
1495.200,-72.176
1496.600,-72.023
1498.000,-72.335
1499.400,-72.037
1500.800,-71.759
1502.200,-71.556
1503.600,-71.362
1505.000,-71.872
1506.400,-70.900
1507.800,-70.106
1509.200,-69.249
1510.600,-68.534
1512.000,-67.462
1513.400,-66.770
1514.800,-66.173
1516.200,-65.718
1517.600,-65.307
1519.000,-65.621
1520.400,-66.447
1521.800,-67.468
1523.200,-68.001
1524.600,-68.608
1526.000,-69.818
1527.400,-70.758
1528.800,-71.961
1530.200,-72.074
1531.600,-72.190
1533.000,-71.575
1534.400,-72.378
1535.800,-73.363
1537.200,-72.978
1538.600,-72.625
1540.000,-73.090
1541.400,-72.713
1542.800,-72.366
1544.200,-73.505
1545.600,-75.055
1547.000,-73.545
1548.400,-71.909
1549.800,-70.723
1551.200,-69.199
1552.600,-68.073
1554.000,-68.586
1555.400,-68.284
1556.800,-68.001
1558.200,-66.736
1559.600,-65.758
1561.000,-64.322
1562.400,-63.433
1563.800,-62.696
1565.200,-62.793
1566.600,-62.892
1568.000,-63.228
1569.400,-64.605
1570.800,-66.634
1572.200,-68.197
1573.600,-70.664
1575.000,-72.384
1576.400,-72.024
1577.800,-71.691
1579.200,-72.217
1580.600,-72.814
1582.000,-72.788
1583.400,-72.433
1584.800,-72.104
1586.200,-72.104
1587.600,-72.103
1589.000,-73.624
1590.400,-73.428
1591.800,-73.241
1593.200,-73.913
1594.600,-74.709
1596.000,-73.646
1597.400,-74.291
1598.800,-75.048
1600.200,-73.271
1601.600,-72.013
1603.000,-70.344
1604.400,-68.319
1605.800,-66.943
1607.200,-65.496
1608.600,-64.413
1610.000,-64.164
1611.400,-63.839
1612.800,-63.537
1614.200,-64.549
1615.600,-65.872
1617.000,-68.083
1618.400,-69.400
1619.800,-71.299
1621.200,-72.118
1622.600,-73.129
1624.000,-72.784
1625.400,-71.958
1626.800,-71.264
1628.200,-71.258
1629.600,-71.252
1631.000,-71.559
1632.400,-71.448
1633.800,-71.339
1635.200,-72.487
1636.600,-74.053
1638.000,-72.967
1639.400,-73.797
1640.800,-74.824
1642.200,-74.812
1643.600,-74.801
1645.000,-74.007
1646.400,-72.774
1647.800,-71.815
1649.200,-70.821
1650.600,-70.013
1652.000,-69.953
1653.400,-70.163
1654.800,-70.382
1656.200,-68.897
1657.600,-67.792
1659.000,-67.357
1660.400,-66.030
1661.800,-65.014
1663.200,-64.851
1664.600,-64.693
1666.000,-65.312
1667.400,-66.745
1668.800,-68.896
1670.200,-70.391
1671.600,-72.688
1673.000,-72.744
1674.400,-72.568
1675.800,-72.399
1677.200,-73.592
1678.600,-75.244
1680.000,-71.344
1681.400,-72.414
1682.800,-73.836
1684.200,-75.034
1685.600,-76.694
1687.000,-73.633
1688.400,-75.921
1689.800,-81.055
1691.200,-210.000
1692.600,-210.000
1694.000,-72.574
1695.400,-74.774
1696.800,-79.457
1698.200,-76.226
1699.600,-74.393
1701.000,-210.000
1702.400,-73.484
1703.800,-70.474
1705.200,-69.061
1706.600,-67.997
1708.000,-67.218
1709.400,-64.558
1710.800,-62.920
1712.200,-63.473
1713.600,-64.105
1715.000,-64.642
1716.400,-65.145
1717.800,-65.714
1719.200,-66.817
1720.600,-68.298
1722.000,-71.466
1723.400,-72.582
1724.800,-74.087
1726.200,-73.196
1727.600,-72.457
1729.000,-72.055
1730.400,-210.000
1731.800,-210.000
1733.200,-210.000
1734.600,-210.000
1736.000,-65.805
1737.400,-69.954
1738.800,-210.000
1740.200,-210.000
1741.600,-210.000
1743.000,-73.815
1744.400,-210.000
1745.800,-210.000
1747.200,-69.728
1748.600,-65.174
1750.000,-210.000
